name,fit_time,train_f1,val_f1,test_f1,test_roc,test_avgPrecision,test_accuracy
knn-Original,0.005336364110310872,0.8355864084764342,0.7566666666666667,0.8235294117647058,0.8498944962194479,0.7005265929436545,0.9994734070563455
logistic_l1-Original,4.0182279745737715,0.7588202183946865,0.5666793796084414,0.588235294117647,0.8852470546861262,0.5612047319879762,0.9987712831314727
logistic_l2-Original,0.15936970710754395,0.7588202183946865,0.5666793796084414,0.588235294117647,0.8854404782838051,0.5612585361447857,0.9987712831314727
xgb-Original,0.2550569375356038,0.8793940795559667,0.8081711525189785,0.6666666666666666,0.8972217337787938,0.656903768515143,0.9991223450939091
rf-Original,6.855204900105794,1.0,0.7229907773386035,0.6666666666666666,0.903464040794795,0.7109135642381385,0.9991223450939091
knn-ROS,0.007001320521036784,0.9998131825861916,0.9996044767305827,0.7368421052631577,0.8497714084754704,0.5449710373880989,0.9991223450939091
logistic_l1-ROS,5.0571393966674805,0.9924838961770538,0.9923217142313444,0.13592233009708737,0.8458238086864781,0.5179653546746497,0.9843777426715815
logistic_l2-ROS,0.8321889241536459,0.9925271694304004,0.9923434216850578,0.13592233009708737,0.8454193775276948,0.5179565255168908,0.9843777426715815
xgb-ROS,0.48244110743204754,1.0,0.9998681318659021,0.6,0.911605415860735,0.6927974549111522,0.9985957521502545
rf-ROS,6.1405534744262695,1.0,0.9999120782497837,0.6666666666666666,0.8965007912783541,0.8003510619624364,0.9991223450939091
knn-RUS,0.000999768575032552,0.937908496732026,0.9009661835748792,0.1415929203539823,0.8898364691401442,0.2786119315276538,0.982973494821836
logistic_l1-RUS,0.0013329188028971355,1.0,0.8910256410256411,0.046511627906976744,0.8695709512924212,0.3902986515564237,0.9496226083903809
logistic_l2-RUS,0.005002339680989583,1.0,0.9033333333333333,0.053435114503816786,0.9543696149112009,0.29442365732289566,0.9564683166578901
xgb-RUS,0.08201718330383301,0.9803921568627451,0.8940740740740741,0.029906542056074764,0.9184455776331986,0.16094507909393407,0.908899420747762
rf-RUS,0.14336649576822916,1.0,0.9311111111111111,0.06779661016949151,0.9011957095129243,0.7265492403983211,0.9613831841319993
knn-Tomek,0.004334688186645508,0.8588624338624339,0.7777777777777778,0.8235294117647058,0.8498681202743098,0.7005265929436545,0.9994734070563455
logistic_l1-Tomek,0.4447648525238037,0.8226161535758593,0.7146464646464649,0.6666666666666665,0.881730262001055,0.6253866510396247,0.9989468141126909
logistic_l2-Tomek,0.08768749237060547,0.8226161535758593,0.7330917874396136,0.6666666666666665,0.8839810093195006,0.6424968755784349,0.9989468141126909
xgb-Tomek,0.296066681543986,1.0,0.8088493631971893,0.7499999999999999,0.8804466326710041,0.7894509061563874,0.9992978760751272
rf-Tomek,7.58449920018514,0.937594896114474,0.7717391304347826,0.6666666666666666,0.8566203622296467,0.7022700547667416,0.9991223450939091
knn-SMOTE,0.007992188135782877,0.9993958382128008,0.9987266950899457,0.5,0.8493493933532618,0.40885992627698786,0.9975425662629455
logistic_l1-SMOTE,2.8812456925710044,0.9927438604613035,0.992646470954284,0.14432989690721648,0.8490065060664674,0.5258053831136169,0.9854309285588907
logistic_l2-SMOTE,0.7375850677490234,0.992971299180755,0.9926465304623903,0.14583333333333334,0.849727448566907,0.5061515859664399,0.9856064595401088
xgb-SMOTE,0.6414773464202881,1.0,0.999582507884509,0.631578947368421,0.976050641814665,0.70872096458113,0.9987712831314727
rf-SMOTE,41.98812826474508,1.0,0.9998461456334917,0.7058823529411764,0.8802180411464745,0.6822138070604755,0.9991223450939091
knn-ADASYN,0.009335756301879883,0.998112972421685,0.9429645716044437,0.4,0.8986812027430983,0.44201772862910305,0.9957872564507636
logistic_l1-ADASYN,5.164855321248372,0.9922775060377625,0.9398461613786567,0.1272727272727273,0.8463952874978021,0.5144148457119403,0.9831490258030542
logistic_l2-ADASYN,0.692155917485555,0.9923859166325925,0.9397662385275294,0.12612612612612611,0.8465007912783542,0.5227485025640907,0.982973494821836
xgb-ADASYN,0.640811045964559,1.0,0.938782409544758,0.6,0.9636715315632144,0.6450256222444027,0.9985957521502545
rf-ADASYN,11.32054877281189,0.993528537101032,0.914477545629243,0.19999999999999998,0.9524529628978372,0.5913823232507744,0.9887660172020362
knn-SMOTETomek,0.008335113525390625,0.9994068164831483,0.9987486147759791,0.5,0.8493493933532618,0.40885992627698786,0.9975425662629455
logistic_l1-SMOTETomek,1.4233216444651287,0.9926246225391324,0.992495113429373,0.14583333333333334,0.8492702655178477,0.5258106416958473,0.9856064595401088
logistic_l2-SMOTETomek,0.6042037804921468,0.9928954586083365,0.9927115509746812,0.14736842105263157,0.8500263759451381,0.5061577628478305,0.985781990521327
xgb-SMOTETomek,0.7388609250386556,1.0,0.9996044651486029,0.631578947368421,0.9407068753296993,0.7133991966713161,0.9987712831314727
rf-SMOTETomek,39.49096496899923,1.0,0.9998461456334917,0.7499999999999999,0.9257517144364338,0.6922415879246303,0.9992978760751272
